user_id,cost_effectiveness_impact,deservingness_targeting,effectiveness_skepticism,fairness_equity,global_scale_impact,local_community_focus,long_term_structural,moral_duty_compassion,personal_connection_identity,short_term_relief,skepticism_uncertainty,tradeoffs_balancing,urgency_basic_needs,visibility_salience
116a3ebe9814,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0
15f012a0dc2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c5387b0da49,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0
455dbb067ce7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60d929ceffa5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61fecb490ab2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
679457c68ee8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84b4783bae78,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8948e22761d2,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333,0
8d4b92f5ba5d,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9d9c3d6a7d9c,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ad571f253120,0,0,0,0,0,1,0,0,0,0,0,0,0,0
b7252e46e281,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e384b04afce3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec338cde8cdc,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
f302a80daf1f,0,0,0,0,0,0,0,1,0,0,0,0,0,0
f80d4f54b108,0,0,0,0,0,0,0,1,0,0,0,0,0,0
